Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n110,n111,Undirected,e557,,,1,1
n59,n110,Undirected,e558,,,1,1
n107,n110,Undirected,e559,,,1,1
n2,n110,Undirected,e560,,,1,1
n108,n110,Undirected,e561,,,1,1
n109,n110,Undirected,e562,,,1,1
n59,n109,Undirected,e563,,,1,1
n107,n109,Undirected,e564,,,1,1
n2,n109,Undirected,e565,,,1,1
n108,n109,Undirected,e566,,,1,1
n59,n108,Undirected,e567,,,1,1
n107,n108,Undirected,e568,,,1,1
n2,n108,Undirected,e569,,,1,1
n2,n107,Undirected,e570,,,1,1
n59,n107,Undirected,e571,,,1,1
n2,n112,Undirected,e572,,,1,1
n2,n113,Undirected,e573,,,1,1
n2,n114,Undirected,e574,,,1,1
n2,n115,Undirected,e575,,,1,1
n2,n116,Undirected,e576,,,1,1
n2,n117,Undirected,e577,,,1,1
n2,n118,Undirected,e578,,,1,1
n2,n119,Undirected,e579,,,1,1
n2,n120,Undirected,e580,,,1,1
n2,n121,Undirected,e581,,,1,1
n112,n121,Undirected,e582,,,1,1
n113,n121,Undirected,e583,,,1,1
n114,n121,Undirected,e584,,,1,1
n115,n121,Undirected,e585,,,1,1
n116,n121,Undirected,e586,,,1,1
n117,n121,Undirected,e587,,,1,1
n118,n121,Undirected,e588,,,1,1
n119,n121,Undirected,e589,,,1,1
n120,n121,Undirected,e590,,,1,1
n27,n121,Undirected,e591,,,1,1
n27,n112,Undirected,e592,,,1,1
n27,n113,Undirected,e593,,,1,1
n27,n114,Undirected,e594,,,1,1
n27,n115,Undirected,e595,,,1,1
n27,n116,Undirected,e596,,,1,1
n27,n117,Undirected,e597,,,1,1
n27,n118,Undirected,e598,,,1,1
n27,n119,Undirected,e599,,,1,1
n27,n120,Undirected,e600,,,1,1
n112,n120,Undirected,e601,,,1,1
n113,n120,Undirected,e602,,,1,1
n114,n120,Undirected,e603,,,1,1
n115,n120,Undirected,e604,,,1,1
n116,n120,Undirected,e605,,,1,1
n117,n120,Undirected,e606,,,1,1
n118,n120,Undirected,e607,,,1,1
n119,n120,Undirected,e608,,,1,1
n112,n119,Undirected,e609,,,1,1
n113,n119,Undirected,e610,,,1,1
n114,n119,Undirected,e611,,,1,1
n115,n119,Undirected,e612,,,1,1
n116,n119,Undirected,e613,,,1,1
n117,n119,Undirected,e614,,,1,1
n118,n119,Undirected,e615,,,1,1
n112,n118,Undirected,e616,,,1,1
n113,n118,Undirected,e617,,,1,1
n114,n118,Undirected,e618,,,1,1
n115,n118,Undirected,e619,,,1,1
n116,n118,Undirected,e620,,,1,1
n117,n118,Undirected,e621,,,1,1
n112,n117,Undirected,e622,,,1,1
n113,n117,Undirected,e623,,,1,1
n114,n117,Undirected,e624,,,1,1
n115,n117,Undirected,e625,,,1,1
n116,n117,Undirected,e626,,,1,1
n112,n116,Undirected,e627,,,1,1
n113,n116,Undirected,e628,,,1,1
n114,n116,Undirected,e629,,,1,1
n115,n116,Undirected,e630,,,1,1
n112,n115,Undirected,e631,,,1,1
n113,n115,Undirected,e632,,,1,1
n114,n115,Undirected,e633,,,1,1
n112,n114,Undirected,e634,,,1,1
n113,n114,Undirected,e635,,,1,1
n112,n113,Undirected,e636,,,1,1
n0,n122,Undirected,e637,,,1,1
n2,n122,Undirected,e638,,,1,1
n122,n123,Undirected,e639,,,1,1
n122,n112,Undirected,e640,,,1,1
n0,n112,Undirected,e641,,,1,1
n123,n112,Undirected,e642,,,1,1
n0,n123,Undirected,e643,,,1,1
n2,n123,Undirected,e644,,,1,1
n2,n124,Undirected,e645,,,1,1
n76,n124,Undirected,e646,,,1,1
n60,n125,Undirected,e647,,,7,7
n2,n125,Undirected,e648,,,6,6
n78,n125,Undirected,e649,,,7,7
n60,n126,Undirected,e650,,,2,2
n126,n2,Undirected,e651,,,1,1
n126,n127,Undirected,e652,,,1,1
n78,n126,Undirected,e653,,,2,2
n126,n128,Undirected,e654,,,1,1
n60,n128,Undirected,e655,,,1,1
n2,n128,Undirected,e656,,,1,1
n127,n128,Undirected,e657,,,1,1
n78,n128,Undirected,e658,,,1,1
n78,n127,Undirected,e659,,,1,1
n60,n127,Undirected,e660,,,1,1
n2,n127,Undirected,e661,,,1,1
n129,n130,Undirected,e662,,,1,1
n129,n131,Undirected,e663,,,1,1
n2,n129,Undirected,e664,,,1,1
n2,n130,Undirected,e665,,,1,1
n2,n131,Undirected,e666,,,1,1
n130,n131,Undirected,e667,,,1,1
n1,n132,Undirected,e668,,,1,1
n2,n132,Undirected,e669,,,1,1
n51,n132,Undirected,e670,,,1,1
n4,n132,Undirected,e671,,,1,1
n72,n132,Undirected,e672,,,1,1
n132,n133,Undirected,e673,,,1,1
n1,n133,Undirected,e674,,,1,1
n2,n133,Undirected,e675,,,1,1
n51,n133,Undirected,e676,,,1,1
n4,n133,Undirected,e677,,,1,1
n72,n133,Undirected,e678,,,1,1
n72,n51,Undirected,e679,,,1,1
n4,n51,Undirected,e680,,,2,2
n91,n135,Undirected,e681,,,2,2
n94,n135,Undirected,e682,,,2,2
n2,n135,Undirected,e683,,,2,2
n134,n135,Undirected,e684,,,2,2
n2,n136,Undirected,e685,,,1,1
n60,n137,Undirected,e686,,,1,1
n60,n138,Undirected,e687,,,1,1
n126,n137,Undirected,e688,,,1,1
n125,n126,Undirected,e689,,,1,1
n126,n138,Undirected,e690,,,1,1
n137,n138,Undirected,e691,,,1,1
n125,n138,Undirected,e692,,,1,1
n2,n138,Undirected,e693,,,1,1
n78,n138,Undirected,e694,,,1,1
n78,n137,Undirected,e695,,,1,1
n2,n137,Undirected,e696,,,1,1
n125,n137,Undirected,e697,,,1,1
n139,n140,Undirected,e698,,,1,1
n60,n139,Undirected,e699,,,1,1
n139,n141,Undirected,e700,,,1,1
n2,n139,Undirected,e701,,,1,1
n2,n140,Undirected,e702,,,1,1
n2,n141,Undirected,e703,,,1,1
n140,n141,Undirected,e704,,,1,1
n60,n141,Undirected,e705,,,1,1
n60,n140,Undirected,e706,,,1,1
n60,n142,Undirected,e707,,,1,1
n78,n142,Undirected,e708,,,1,1
n2,n142,Undirected,e709,,,1,1
n125,n142,Undirected,e710,,,1,1
n2,n143,Undirected,e711,,,1,1
n2,n144,Undirected,e712,,,1,1
n143,n144,Undirected,e713,,,1,1
n2,n145,Undirected,e714,,,1,1
n2,n146,Undirected,e715,,,1,1
n145,n146,Undirected,e716,,,1,1
n90,n146,Undirected,e717,,,1,1
n55,n146,Undirected,e718,,,1,1
n55,n145,Undirected,e719,,,1,1
n55,n90,Undirected,e720,,,1,1
n90,n145,Undirected,e721,,,1,1
n147,n148,Undirected,e722,,,1,1
n2,n147,Undirected,e724,,,1,1
n147,n150,Undirected,e725,,,1,1
n147,n183,Undirected,e726,,,1,1
n148,n183,Undirected,e727,,,1,1
n2,n183,Undirected,e729,,,1,1
n150,n183,Undirected,e730,,,1,1
n148,n150,Undirected,e731,,,1,1
n2,n150,Undirected,e733,,,1,1
n2,n148,Undirected,e734,,,1,1
n1,n151,Undirected,e737,,,1,1
n2,n151,Undirected,e738,,,1,1
n151,n152,Undirected,e739,,,1,1
n4,n151,Undirected,e740,,,1,1
n151,n153,Undirected,e741,,,1,1
n72,n151,Undirected,e742,,,1,1
n51,n151,Undirected,e743,,,1,1
n51,n152,Undirected,e744,,,1,1
n51,n153,Undirected,e745,,,1,1
n72,n152,Undirected,e746,,,1,1
n72,n153,Undirected,e747,,,1,1
n1,n153,Undirected,e748,,,1,1
n2,n153,Undirected,e749,,,1,1
n152,n153,Undirected,e750,,,1,1
n4,n153,Undirected,e751,,,1,1
n4,n152,Undirected,e752,,,1,1
n1,n152,Undirected,e753,,,1,1
n2,n152,Undirected,e754,,,1,1
n1,n154,Undirected,e755,,,3,3
n2,n154,Undirected,e756,,,3,3
n155,n156,Undirected,e757,,,1,1
n155,n157,Undirected,e758,,,1,1
n155,n158,Undirected,e759,,,1,1
n155,n159,Undirected,e760,,,1,1
n155,n168,Undirected,e761,,,1,1
n155,n169,Undirected,e762,,,1,1
n155,n160,Undirected,e763,,,1,1
n2,n155,Undirected,e764,,,1,1
n155,n161,Undirected,e765,,,1,1
n155,n162,Undirected,e766,,,1,1
n156,n162,Undirected,e767,,,1,1
n157,n162,Undirected,e768,,,1,1
n158,n162,Undirected,e769,,,1,1
n159,n162,Undirected,e770,,,1,1
n168,n162,Undirected,e771,,,1,1
n169,n162,Undirected,e772,,,1,1
n160,n162,Undirected,e773,,,1,1
n2,n162,Undirected,e774,,,1,1
n161,n162,Undirected,e775,,,1,1
n156,n161,Undirected,e776,,,1,1
n157,n161,Undirected,e777,,,1,1
n158,n161,Undirected,e778,,,1,1
n159,n161,Undirected,e779,,,1,1
n168,n161,Undirected,e780,,,1,1
n169,n161,Undirected,e781,,,1,1
n160,n161,Undirected,e782,,,1,1
n2,n161,Undirected,e783,,,1,1
n2,n156,Undirected,e784,,,1,1
n2,n157,Undirected,e785,,,1,1
n2,n158,Undirected,e786,,,1,1
n2,n159,Undirected,e787,,,1,1
n2,n168,Undirected,e788,,,1,1
n2,n169,Undirected,e789,,,1,1
n2,n160,Undirected,e790,,,1,1
n156,n160,Undirected,e791,,,1,1
n157,n160,Undirected,e792,,,1,1
n158,n160,Undirected,e793,,,1,1
n159,n160,Undirected,e794,,,1,1
n168,n160,Undirected,e795,,,1,1
n169,n160,Undirected,e796,,,1,1
n156,n169,Undirected,e797,,,1,1
n157,n169,Undirected,e798,,,1,1
n158,n169,Undirected,e799,,,1,1
n159,n169,Undirected,e800,,,1,1
n168,n169,Undirected,e801,,,1,1
n156,n168,Undirected,e802,,,1,1
n157,n168,Undirected,e803,,,1,1
n158,n168,Undirected,e804,,,1,1
n159,n168,Undirected,e805,,,1,1
n156,n159,Undirected,e806,,,1,1
n157,n159,Undirected,e807,,,1,1
n158,n159,Undirected,e808,,,1,1
n156,n158,Undirected,e809,,,1,1
n157,n158,Undirected,e810,,,1,1
n156,n157,Undirected,e811,,,1,1
n163,n164,Undirected,e812,,,1,1
n2,n163,Undirected,e813,,,1,1
n163,n165,Undirected,e814,,,1,1
n163,n166,Undirected,e815,,,1,1
n163,n167,Undirected,e816,,,1,1
n164,n167,Undirected,e817,,,1,1
n2,n167,Undirected,e818,,,1,1
n165,n167,Undirected,e819,,,1,1
n166,n167,Undirected,e820,,,1,1
n164,n166,Undirected,e821,,,1,1
n2,n166,Undirected,e822,,,1,1
n165,n166,Undirected,e823,,,1,1
n164,n165,Undirected,e824,,,1,1
n2,n165,Undirected,e825,,,1,1
n2,n164,Undirected,e826,,,1,1
n4,n154,Undirected,e827,,,1,1
n72,n154,Undirected,e828,,,1,1
n168,n170,Undirected,e829,,,1,1
n169,n170,Undirected,e830,,,1,1
n2,n170,Undirected,e831,,,1,1
n171,n172,Undirected,e832,,,1,1
n171,n173,Undirected,e833,,,1,1
n171,n174,Undirected,e834,,,1,1
n171,n175,Undirected,e835,,,1,1
n2,n171,Undirected,e836,,,1,1
n171,n176,Undirected,e837,,,1,1
n172,n176,Undirected,e838,,,1,1
n173,n176,Undirected,e839,,,1,1
n174,n176,Undirected,e840,,,1,1
n175,n176,Undirected,e841,,,1,1
n2,n176,Undirected,e842,,,1,1
n2,n172,Undirected,e843,,,1,1
n2,n173,Undirected,e844,,,3,3
n2,n174,Undirected,e845,,,1,1
n2,n175,Undirected,e846,,,1,1
n172,n175,Undirected,e847,,,1,1
n173,n175,Undirected,e848,,,1,1
n174,n175,Undirected,e849,,,1,1
n172,n174,Undirected,e850,,,1,1
n173,n174,Undirected,e851,,,1,1
n172,n173,Undirected,e852,,,1,1
n177,n178,Undirected,e853,,,1,1
n177,n179,Undirected,e854,,,1,1
n2,n177,Undirected,e855,,,1,1
n177,n180,Undirected,e856,,,1,1
n177,n181,Undirected,e857,,,1,1
n178,n181,Undirected,e858,,,1,1
n179,n181,Undirected,e859,,,1,1
n2,n181,Undirected,e860,,,1,1
n180,n181,Undirected,e861,,,1,1
n178,n180,Undirected,e862,,,1,1
n179,n180,Undirected,e863,,,1,1
n2,n180,Undirected,e864,,,1,1
n2,n178,Undirected,e865,,,1,1
n2,n179,Undirected,e866,,,1,1
n178,n179,Undirected,e867,,,1,1
n182,n183,Undirected,e868,,,2,2
n182,n184,Undirected,e869,,,2,2
n2,n182,Undirected,e870,,,2,2
n182,n185,Undirected,e871,,,2,2
n183,n185,Undirected,e872,,,2,2
n184,n185,Undirected,e873,,,2,2
n2,n185,Undirected,e874,,,2,2
n2,n184,Undirected,e875,,,2,2
n183,n184,Undirected,e876,,,2,2
n1,n186,Undirected,e877,,,1,1
n154,n186,Undirected,e878,,,1,1
n2,n186,Undirected,e879,,,1,1
n187,n188,Undirected,e880,,,1,1
n2,n187,Undirected,e881,,,2,2
n187,n189,Undirected,e882,,,1,1
n188,n189,Undirected,e883,,,1,1
n2,n189,Undirected,e884,,,1,1
n2,n188,Undirected,e885,,,1,1
n181,n190,Undirected,e886,,,1,1
n181,n191,Undirected,e887,,,1,1
n181,n192,Undirected,e888,,,1,1
n2,n190,Undirected,e889,,,1,1
n2,n191,Undirected,e890,,,1,1
n2,n192,Undirected,e891,,,1,1
n190,n192,Undirected,e892,,,1,1
n191,n192,Undirected,e893,,,1,1
n190,n191,Undirected,e894,,,1,1
n60,n193,Undirected,e895,,,1,1
n60,n194,Undirected,e896,,,1,1
n60,n195,Undirected,e897,,,1,1
n2,n193,Undirected,e898,,,1,1
n2,n194,Undirected,e899,,,1,1
n2,n195,Undirected,e900,,,1,1
n125,n195,Undirected,e901,,,1,1
n193,n195,Undirected,e902,,,1,1
n194,n195,Undirected,e903,,,1,1
n78,n195,Undirected,e904,,,1,1
n78,n193,Undirected,e905,,,1,1
n78,n194,Undirected,e906,,,1,1
n125,n194,Undirected,e907,,,1,1
n193,n194,Undirected,e908,,,1,1
n125,n193,Undirected,e909,,,1,1
n196,n197,Undirected,e910,,,1,1
n196,n198,Undirected,e911,,,1,1
n196,n199,Undirected,e912,,,1,1
n196,n200,Undirected,e913,,,1,1
n196,n201,Undirected,e914,,,1,1
n2,n196,Undirected,e915,,,1,1
n196,n202,Undirected,e916,,,1,1
n196,n203,Undirected,e917,,,1,1
n196,n204,Undirected,e918,,,1,1
n91,n196,Undirected,e919,,,1,1
n91,n197,Undirected,e920,,,1,1
n91,n198,Undirected,e921,,,1,1
n91,n199,Undirected,e922,,,1,1
n91,n200,Undirected,e923,,,1,1
n91,n201,Undirected,e924,,,1,1
n91,n202,Undirected,e925,,,1,1
n91,n203,Undirected,e926,,,1,1
n91,n204,Undirected,e927,,,1,1
n197,n204,Undirected,e928,,,1,1
n198,n204,Undirected,e929,,,1,1
n199,n204,Undirected,e930,,,1,1
n200,n204,Undirected,e931,,,1,1
n201,n204,Undirected,e932,,,1,1
n2,n204,Undirected,e933,,,1,1
n202,n204,Undirected,e934,,,1,1
n203,n204,Undirected,e935,,,1,1
n197,n203,Undirected,e936,,,1,1
n198,n203,Undirected,e937,,,1,1
n199,n203,Undirected,e938,,,1,1
n200,n203,Undirected,e939,,,1,1
n201,n203,Undirected,e940,,,1,1
n2,n203,Undirected,e941,,,1,1
n202,n203,Undirected,e942,,,1,1
n197,n202,Undirected,e943,,,1,1
n198,n202,Undirected,e944,,,1,1
n199,n202,Undirected,e945,,,1,1
n200,n202,Undirected,e946,,,1,1
n201,n202,Undirected,e947,,,1,1
n2,n202,Undirected,e948,,,1,1
n2,n197,Undirected,e949,,,1,1
n2,n198,Undirected,e950,,,1,1
n2,n199,Undirected,e951,,,1,1
n2,n200,Undirected,e952,,,1,1
n2,n201,Undirected,e953,,,1,1
n197,n201,Undirected,e954,,,1,1
n198,n201,Undirected,e955,,,1,1
n199,n201,Undirected,e956,,,1,1
n200,n201,Undirected,e957,,,1,1
n197,n200,Undirected,e958,,,1,1
n198,n200,Undirected,e959,,,1,1
n199,n200,Undirected,e960,,,1,1
n197,n199,Undirected,e961,,,1,1
n198,n199,Undirected,e962,,,1,1
n197,n198,Undirected,e963,,,1,1
n60,n205,Undirected,e964,,,1,1
n125,n205,Undirected,e965,,,1,1
n78,n205,Undirected,e966,,,1,1
n2,n205,Undirected,e967,,,1,1
n91,n206,Undirected,e968,,,1,1
n91,n207,Undirected,e969,,,1,1
n206,n207,Undirected,e970,,,2,2
n2,n207,Undirected,e971,,,2,2
n2,n206,Undirected,e972,,,2,2
n1,n207,Undirected,e973,,,1,1
n1,n206,Undirected,e974,,,1,1
n4,n206,Undirected,e975,,,1,1
n4,n207,Undirected,e976,,,1,1
n60,n208,Undirected,e977,,,1,1
n78,n208,Undirected,e978,,,1,1
n125,n208,Undirected,e979,,,1,1
n2,n208,Undirected,e980,,,1,1
n1,n209,Undirected,e981,,,1,1
n1,n187,Undirected,e982,,,1,1
n2,n209,Undirected,e983,,,1,1
n209,n187,Undirected,e984,,,1,1
n90,n210,Undirected,e985,,,1,1
n2,n210,Undirected,e986,,,1,1
n210,n211,Undirected,e987,,,1,1
n210,n212,Undirected,e988,,,1,1
n90,n212,Undirected,e989,,,1,1
n2,n212,Undirected,e990,,,1,1
n211,n212,Undirected,e991,,,1,1
n90,n211,Undirected,e992,,,1,1
n213,n214,Undirected,e993,,,1,1
n90,n213,Undirected,e994,,,1,1
n2,n213,Undirected,e995,,,1,1
n213,n215,Undirected,e996,,,1,1
n214,n215,Undirected,e997,,,1,1
n90,n215,Undirected,e998,,,1,1
n2,n215,Undirected,e999,,,1,1
n2,n214,Undirected,e1000,,,1,1
n90,n214,Undirected,e1001,,,1,1
n147,n216,Undirected,e1002,,,1,1
n147,n217,Undirected,e1003,,,1,1
n76,n147,Undirected,e1004,,,1,1
n147,n218,Undirected,e1005,,,1,1
n216,n218,Undirected,e1006,,,1,1
n217,n218,Undirected,e1007,,,1,1
n2,n218,Undirected,e1008,,,1,1
n76,n218,Undirected,e1009,,,1,1
n76,n216,Undirected,e1010,,,1,1
n76,n217,Undirected,e1011,,,1,1
n2,n216,Undirected,e1012,,,2,2
n2,n217,Undirected,e1013,,,1,1
n216,n217,Undirected,e1014,,,1,1
n173,n219,Undirected,e1015,,,2,2
n219,n220,Undirected,e1016,,,1,1
n219,n206,Undirected,e1017,,,2,2
n216,n219,Undirected,e1018,,,1,1
n219,n221,Undirected,e1019,,,1,1
n2,n219,Undirected,e1020,,,2,2
n2,n220,Undirected,e1021,,,1,1
n2,n221,Undirected,e1022,,,1,1
n173,n221,Undirected,e1023,,,1,1
n220,n221,Undirected,e1024,,,1,1
n206,n221,Undirected,e1025,,,1,1
n216,n221,Undirected,e1026,,,1,1
n173,n216,Undirected,e1027,,,1,1
n216,n220,Undirected,e1028,,,1,1
n216,n206,Undirected,e1029,,,1,1
n173,n206,Undirected,e1030,,,2,2
n220,n206,Undirected,e1031,,,1,1
n173,n220,Undirected,e1032,,,1,1
n187,n222,Undirected,e1033,,,1,1
n2,n222,Undirected,e1034,,,1,1
n224,n225,Undirected,e1039,,,1,1
n2,n224,Undirected,e1040,,,1,1
n224,n226,Undirected,e1041,,,1,1
n225,n226,Undirected,e1042,,,1,1
n2,n226,Undirected,e1043,,,1,1
n2,n225,Undirected,e1044,,,2,2
n29,n227,Undirected,e1045,,,1,1
n2,n227,Undirected,e1046,,,1,1
n228,n229,Undirected,e1047,,,1,1
n156,n228,Undirected,e1048,,,1,1
n225,n228,Undirected,e1049,,,1,1
n2,n228,Undirected,e1050,,,1,1
n2,n229,Undirected,e1051,,,2,2
n225,n229,Undirected,e1052,,,1,1
n156,n225,Undirected,e1053,,,1,1
n156,n229,Undirected,e1054,,,1,1
n216,n230,Undirected,e1055,,,1,1
n230,n231,Undirected,e1056,,,1,1
n2,n230,Undirected,e1057,,,1,1
n230,n232,Undirected,e1058,,,1,1
n230,n233,Undirected,e1059,,,1,1
n216,n233,Undirected,e1060,,,1,1
n231,n233,Undirected,e1061,,,1,1
n2,n233,Undirected,e1062,,,2,2
n232,n233,Undirected,e1063,,,1,1
n216,n232,Undirected,e1064,,,1,1
n231,n232,Undirected,e1065,,,1,1
n2,n232,Undirected,e1066,,,1,1
n2,n231,Undirected,e1067,,,1,1
n216,n231,Undirected,e1068,,,1,1
n229,n234,Undirected,e1069,,,1,1
n91,n234,Undirected,e1070,,,1,1
n2,n234,Undirected,e1071,,,1,1
n91,n229,Undirected,e1072,,,1,1
n26,n235,Undirected,e1073,,,1,1
n233,n26,Undirected,e1074,,,1,1
n233,n22,Undirected,e1075,,,1,1
n233,n29,Undirected,e1076,,,1,1
n233,n235,Undirected,e1077,,,1,1
n22,n235,Undirected,e1078,,,1,1
n2,n235,Undirected,e1079,,,1,1
n29,n235,Undirected,e1080,,,1,1
n235,n236,Undirected,e1081,,,1,1
n235,n237,Undirected,e1082,,,1,1
n236,n237,Undirected,e1083,,,1,1
n2,n237,Undirected,e1084,,,1,1
n2,n236,Undirected,e1085,,,1,1
n164,n238,Undirected,e1086,,,1,1
n2,n238,Undirected,e1087,,,1,1
n239,n240,Undirected,e1088,,,1,1
n2,n239,Undirected,e1089,,,1,1
n2,n240,Undirected,e1090,,,1,1
n219,0,Undirected,0,,,1,1
n2,0,Undirected,1,,,1,1
n206,0,Undirected,2,,,1,1
n173,0,Undirected,3,,,1,1
0,n150,Undirected,4,,,1,1
0,n183,Undirected,5,,,1,1
n148,0,Undirected,6,,,1,1
n147,0,Undirected,7,,,1,1
